headline,clean_headline,date,source,link,symbol,company,sentiment_label,sentiment_score,sentiment_numeric,sentiment_strength,rolling_3_sentiment,rolling_7_sentiment,news_count_per_day
"Adani Enterprises shares in news today, here's why - Business Today",adani enterprises shares in news today heres why  business today,2025-10-01 07:00:00,Business Today,https://news.google.com/rss/articles/CBMitwFBVV95cUxPaExGSWJMMmN2OF8zZ3lGR1ZjdXBuakczRmliRmljdEltMC15NHNaUVJPZVBZQTRxclB0RkxuVVpBYW9qYW96d28yRzI3cGlwWGsyUGFxaFNNSmpZSkYtTGVQOVJyNDFMQTltZlc4bDBHX3NiVEFIcWt4V3BsN0h6V2dma3ROX0V2UFFqbHg5WFI4TnJINkFSVkVzd3EwdkYwZUt0djZSTzVlbndHLWZydWNDYnFja0XSAbwBQVVfeXFMUG9LcVZPWDFZS3BaRTZwRjJJUW1waGlvOGV4ZWlwRUxkWFVwb3dPbTVMbktjNGxMTWgzdFNjcmpja2Q5SlgyQVJabGx3R1U1OHo1T0g3VnJZSWxiRnUtZy1ZMWlmMmlOTEQ0TmNiNnNQN2dUb0M3dnFKTE5RVHlPMjZZa0M0YjVqUlJlNFZJMXZ4QUFGUHFBVU05RGs2NHBmVF9tb3JyUXRxbzNCMUQxYzBNVFo0ajFsNVZURTY?oc=5,ADANIENT,Adani Enterprises,positive,0.9256737232208252,1,0.4256737232208252,-0.3333333333333333,0.14285714285714285,1
"Adani Enterprises shares in focus today, here's why - Business Today",adani enterprises shares in focus today heres why  business today,2025-10-06 07:00:00,Business Today,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQNHZYamdBWkN1SWFkYmdhaHlKQTl5eUFmMVVkVThpdjlQSURqanVUcWNPc2t4TWxGb0RmcURJMzcwV3MyaEtIS01LX0EtbnMzTjRjMk1Md0JaSXpzMWF1eHdJcnB3ZWpaalBFSElIM1RwangtR3VLODBiRTJWTG51X3FHbHM5cDNkYnhfTWdOOU1ZRS02UHNkdTJwZHQ2VEdleXdvbVotUVcxUWl1dTd1T3pfdnduWjFr0gG-AUFVX3lxTE1qYUFzdFpTakJTdkJ0aU1NSVNXODdMMFRpMDdHYjBMNzBSemNfSnZsbTdOZng5SlRxLTRhRmlBZW1SWXNNOHl3aG8wdmdfYldfRVdWclJSZDhmaXJ2X0NKQjNhZmxtWTBWMlBuOUxsZkdZNUVKbmNjQjVmTkF5MUx6aTloQXNDYUU0dkNRM1c1dERDak9vUlplSDlSUnREc2ZjUXFscEFZUkZrZGpJdFJkeU96Ymh3Sl9iTUxBa3c?oc=5,ADANIENT,Adani Enterprises,positive,0.9295926690101624,1,0.42959266901016235,0.3333333333333333,0.14285714285714285,1
"Adani Enterprises Sees 17,884 Call Contracts at Rs 2,600 Strike Price - Markets Mojo",adani enterprises sees 17884 call contracts at rs 2600 strike price  markets mojo,2025-10-08 06:16:10,Markets Mojo,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNQW00VTlGQkk1NXl3N2I1blg4REl3dE1hMllBYmhaLU9EVHkyVU12U3pHUXE3UklzRkhyUm1UOEVsWFMtam8xMHFCMVFTVDJQVDVVbVh6TDU5M3JaTHN3c2tTRnJNZzAxTHJmbTJTdVpyd2xmdG82MTV6TDcwTGdBSDh6Y2szTHJSTFh1SHNlRXZ3Nl9hek1idW44QjcyWXlxNXpsMzZqLVpjMjRrOVRqSEJval9NSHRXbEw3VmVwU1pLbjg?oc=5,ADANIENT,Adani Enterprises,positive,0.8185049295425415,1,0.3185049295425415,1.0,0.14285714285714285,1
"Adani Enterprises board clears Rs 25,000 crore rights issue; stock down 2% - Business Today",adani enterprises board clears rs 25000 crore rights issue stock down 2  business today,2025-11-04 08:00:00,Business Today,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNOTJmQmlpaHZZMUtaT1d1SEhGT3Z4NXZUY3Q2S3gyOERJQmFNSi1NcWF6amlENDhCYWV4bG1CTi1WMm9USDFCdnY0WDVYTWlFRFVYTldabHFhR0FMeHRyekFLc0Q5MzM5N2VtSThqcENzWS1wdDExRGxOVFBGYk0xZXFIWnFpYnVGSkZob2o2eDlhdHVZMEYweExkYVBmZEE5MmlzdGx0WnpsYnhxcE1MYTRRbHhDMWl3S2JDOU9NWGgyNDEzV2hyMzdEWnFYbDl4d2tORF9B0gHbAUFVX3lxTE1SQ01ybUc2VFBvbktEekJ3RVFDSDN0OVVWWkNYbUJ5OUxZZ2hGOEVtQUJHTFJWQ21tbDRySFM5M1MxV0ZES1p1ZWUtNHJmaUFRT1ozM3VSQUFzbUNHX21KM3FCaS1GcjJKd09CaEdURnpZZEFtMERQeW5mb3M1QWJycERRbXdVNDRiX25YRVZ5cmswNXRNQ3lVdmM1MjB6VTdBbS1fbmdUcmZsNkxrNXVaMVpQX2xZQmhoV00wQWJWbVp5SzdxQ0NJR3p4ZkNXd0o1am1aNEgxMmVLYw?oc=5,ADANIENT,Adani Enterprises,neutral,0.9656341671943665,0,0.46563416719436646,0.6666666666666666,0.2857142857142857,3
Adani Enterprises Q2 results today: Is it a stock to buy ahead of September quarter earnings? - Mint,adani enterprises q2 results today is it a stock to buy ahead of september quarter earnings  mint,2025-11-04 08:00:00,Mint,https://news.google.com/rss/articles/CBMi8wFBVV95cUxOOGlLMmV5OWNUMllEbENqT3R3dUhwQ0pGdW9VWGUxeXVXUm53SU80aEUwb1lHVF9UdXdYR0NBSnNTelAyUWszel80VzNqTTQtQ1hWSXRBbVUyTGgzU012b1BiRUhvNmVsdUNOX1VTTFdnOGsyMVhPQmZfdUlvLTRGU1pMVzlkenVyVHp1Mjh1XzhwR0NGcFZVRlB6QjBIWG0zNGlZSUdLd0RvcXU3Y29KU2kwS0JzTFpiU19hOFNaR1cyQ3dBX01DZFJXVGM2U25OZXRHN0JyLUdqZ2N4QjRWLVM1NGNtR2xfSjlUSGZIMGd1WjDSAfgBQVVfeXFMTUlIOWtuZjI3V1U3eWlOeHd4RHltd2R4Ml9VQlVKNV9NYkIwWmZWS3p6ZWloWXZjS2VwSGNodlM2SnV5czhwS3U1SWx0TWtZcTdrV3ZDcmlCVHp0VjZZaUxJNkpvSnhRTktYVEg2MU5QTnctTHkwTERFT21sNGJqdUpabkNfQmc4SWVBYmpsMVBtWVJxVWxwVjNyMnVLSjIwZGRyMXdpNzllNnBZUDhmQzRIWEpCZkthZnV3dG1rRkZya2RKRmZuQXJETUt6UDBRaEtrQ2JBTE5CODBrSG9hMFdSVXY1YVlPcG9RZzFtSkpyZkZFUllQRnc?oc=5,ADANIENT,Adani Enterprises,positive,0.8645583987236023,1,0.3645583987236023,0.6666666666666666,0.2857142857142857,3
"Adani Enterprises board approves raising ₹25,000 crore via rights issue. Check details - Mint",adani enterprises board approves raising 25000 crore via rights issue check details  mint,2025-11-04 08:00:00,Mint,https://news.google.com/rss/articles/CBMi7gFBVV95cUxPR2ZxSmQxNEdWOHZMSWgwLTRlTTA2QXN2ZUh5Ym8wcTRCMmpadl9Gc1NURjdiM0haN0ZfR3BNVGNOWW5PeFVfR1ZMOWdSVFU0X1NMV2loT21RSVZmYkJMZmVvU05aSVRVVWZtNWNwUU43NXVFVmctcUlBU3FHUHZEZG83WGhleHFrVGFXMk81S2psVG1FeWpnOHE5aHhjdlhPU1N5NVkzZWppd0xHTU5USWhwczRsN0hSTml3NVZVSWdqT2xKNEktd1lQNUt6ZGQ4aHJlVEo2WVRJa0M5UUdmOU9ha25WTmFUNHBlTnlR0gHzAUFVX3lxTE9tc1BsRkNSZG9NMEptMG5qVHN6RFBLTTdZeXJMazhDUVhlZUMyRlhzYmJybFhtc281UUJOZEZpbkgzUl9qQnhHR25ham9TTGI0aUNzMVV1VXVuYU04UlBTdzJnaUk0U19pQW5ZMGNabXcwVWZjbllhUkNhdExUbGROTjNGMVliV1NseEs2QmltdG1fa2poaHc5ZUY3N3U0bUF6UzdBMmwxMHdLSHptLWRSZkZReTNpZFFWdUpmYl9tZEJiamdRNmF6VDJ2STNrak9NZl9iR0dJWEVhTTAtcERySUJqT1FfTjRTYzhEYjlHajhFOA?oc=5,ADANIENT,Adani Enterprises,positive,0.5153372287750244,1,0.015337228775024414,0.6666666666666666,0.5714285714285714,3
"Adani Enterprises Sees 3,010 Put Contracts at 2400 Strike Amid 5.28% Decline - Markets Mojo",adani enterprises sees 3010 put contracts at 2400 strike amid 528 decline  markets mojo,2025-11-06 05:33:05,Markets Mojo,https://news.google.com/rss/articles/CBMiywFBVV95cUxOWm5LSEYzTnJPV1dGTkhzcnpyTk1EYTFiLTRUVXlCOUhYY1FHekZ4ZzNZTUhMRHVqWTZ1MlBQYzJRUl9qQjYtRnIwb1RvdHJVMWVJNTZsOW85cUlKQWNqajg2UUhKTUQySDNXbzQ4OHF1M2J5Z0hHcDE2MGthdmVzbDNTWUNzNkpjbzNOUEhOd1pGV3hsYVUxb1NUcWpRdGVOOVpEQXlNVUFTa19LbFJsY1JZSmw3S0hxaXRRT1N1ZVIxNjNRcFhKSkZFYw?oc=5,ADANIENT,Adani Enterprises,neutral,0.9159823060035706,0,0.41598230600357056,0.6666666666666666,0.7142857142857143,1
"Adani Enterprises extends decline, down 5% in 2 days; here's why - Business Standard",adani enterprises extends decline down 5 in 2 days heres why  business standard,2025-11-06 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMixwFBVV95cUxPU3NBdHNJMXNKelUwbnlPUE9wQ3dtSjJmMlhmUTRPN3RYVWI5d1pEX21pVG1yZ0F3VUxpZGVFMmR3RXFxYVNGeEJDdmV5RkxoX0FRanh3bzN5cl9nSExOMTdEWEszTHFjN0xaYzE4VEg1aTNjLWI3U0Jvcmc2c0lNUTluRFJmRzdZbFlBRm9uWHRmczEtdk12cnk3MlBkeC04SEpRVDNqODZCZkxtNS01UkhGSUlRMXJOTnc2MlFJNldwMXE3OFZJ0gHMAUFVX3lxTFB1TTJ3aUZqR3N5R2lmR1pqb1BSci1SeWtuVmd0djR2WUZzdTRzSFRWS1M2ZkFWUHREdTN1ZWU4T0RtSmxWcXVIdExZeklJWHAwYVR2dXg3RE54dTFNTzRTTHhMT3F0VkpQQlpDVHZPd2M1SlpPYnBWdVVQYnM3SllGclM1ZEtHTFdrUlhDVlBEYmhxRGlkcGZOX0tBUUZzamtFV0Q4ZFk1ZTZ3OWktaGJSNmxCdFc4Ykl2a2RUb1U1Q0lkNVB2WVVrbjlqWg?oc=5,ADANIENT,Adani Enterprises,neutral,0.9637430310249328,0,0.46374303102493275,0.3333333333333333,0.5714285714285714,3
"Adani Enterprises Today, Nov 6: Stock Falls 5.28% as Traders Eye 2400 Put Build-Up - Meyka",adani enterprises today nov 6 stock falls 528 as traders eye 2400 put buildup  meyka,2025-11-06 08:00:00,Meyka,https://news.google.com/rss/articles/CBMipgFBVV95cUxNdDdqbkhBbDZXb3VLZG1VTjNReWdzdlU4bmtyTEEzbkxxVWFLU01IaElSRldSdkNnRUVIcmhzaEdUeDNtcFQxSVdGSmU5TDJDX0pfSnU4ZGZLSlJvRlM0NjIzakxkTlBNQkJ3VkdTNEZOQXdVTFdUZVNtQWFvZzVVSzBOWDlaODFoVGV6emZ3QkEyekxQNGUyZFF5SWFEejk5TTQxTGtn?oc=5,ADANIENT,Adani Enterprises,neutral,0.9516005516052246,0,0.4516005516052246,0.0,0.42857142857142855,3
Adani Enterprises (NSE:ADANIENT) Seems To Be Using A Lot Of Debt - simplywall.st,adani enterprises nseadanient seems to be using a lot of debt  simplywallst,2025-11-06 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4wFBVV95cUxQbnVTODlkd0RialM4bk8wcGhvcmhEQTYwOTJuWTQ5Wm0wVDlEam1LTUlPWEJtYVpzQTFvbnoyUU5RUHhqUUZHU096WHdQLWNIUDZNT0RScGJ6SmwyaEpxNHJaUXhBU0lSQUktT0Z4NlZPUS1yOE5TMUZ4WXpyaFhIRVRoVDdkcUo4MU5DTWpJR0ZEV0JmOGJyOGN4anktYk5GWHFXVFJlSG5Xd19xMlVFSGR2NXBfa01TODhGTTgzUGViNUVBMDMyYU96ZTFFU3oxaklsYmVxN003R2o2azFuOENNZ9IB6AFBVV95cUxPdzkyaUNzTXNDM2w4bWFQUkJ4WlZpN1NLUUFNSlJ1R2xubGd5Qm9kbkQ5MTMxdExyXzFQZGdNcEtZUlJxSDRkOFBFWkk3QkdmM2oxTTU1X1pwNEIxTnpveVp4SFVjdWVTTl9UOUxTM3Eybzg4YmwwQWcxS2t0TGUwZ2MxZW5HQm9INjJYUjJvd0E1eTZLMk5YSFRqeFN1b0lzNEdXN0pNU3hzdlB4dWpMZ3hVdU84b0ZNYVRqSk1ON2ZnZG91VFRXd0NPVmNDVWx5dlhIZVREdmttYmowODY0d3Z1LTlNeFNt?oc=5,ADANIENT,Adani Enterprises,positive,0.9287130236625672,1,0.42871302366256725,0.3333333333333333,0.42857142857142855,3
